WELL,0 h ,0 h 15 min,0 h 30 min,0 h 45 min,1 h ,1 h 15 min,1 h 30 min,1 h 45 min,2 h ,2 h 15 min,2 h 30 min,2 h 45 min,3 h ,3 h 15 min,3 h 30 min,3 h 45 min,4 h ,4 h 15 min,4 h 30 min,4 h 45 min,5 h ,5 h 15 min,5 h 30 min,5 h 45 min,6 h ,6 h 15 min,6 h 30 min,6 h 45 min,7 h ,7 h 15 min,7 h 30 min,7 h 45 min,8 h ,8 h 15 min,8 h 30 min,8 h 45 min,9 h ,9 h 15 min,9 h 30 min,9 h 45 min,10 h ,10 h 15 min,10 h 30 min,10 h 45 min,11 h ,11 h 15 min,11 h 30 min,11 h 45 min,12 h ,12 h 15 min,12 h 30 min,12 h 45 min,13 h ,13 h 15 min,13 h 30 min,13 h 45 min,14 h ,14 h 15 min,14 h 30 min,14 h 45 min,15 h ,15 h 15 min,15 h 30 min,15 h 45 min,16 h ,16 h 15 min,16 h 30 min,16 h 45 min,17 h ,17 h 15 min,17 h 30 min,17 h 45 min,18 h ,18 h 15 min,18 h 30 min,18 h 45 min,19 h ,19 h 15 min,19 h 30 min,19 h 45 min
A01,225.15212981744423,248.08184143222505,257.5,246.54377880184333,243.05555555555557,242.152466367713,222.9299363057325,222.22222222222223,205.1792828685259,201.5065913370998,188.74773139745915,182.28279386712097,182.26600985221674,170.92651757188497,170.76923076923077,164.42451420029894,155.97667638483964,155.5869872701556,151.72413793103448,154.37158469945356,147.8494623655914,134.13014608233732,151.19363395225463,150.13054830287206,158.31134564643799,164.0625,157.34720416124838,149.73958333333334,164.72114137483786,166.44993498049413,161.91709844559585,174.87046632124353,179.58656330749355,185.9557867360208,194.01041666666666,192.80205655526993,197.41935483870967,204.66321243523316,211.61290322580643,210.05154639175257,212.16041397153944,220.77922077922076,217.73142112125163,221.64276401564535,232.37597911227152,224.09326424870466,230.36649214659687,229.65879265091863,220.6266318537859,236.45970937912813,229.9605781865966,225.7217847769029,238.7862796833773,233.11258278145695,239.0438247011952,237.96791443850267,233.73173970783532,233.9572192513369,243.27956989247312,240.26845637583892,237.26541554959786,237.12737127371275,234.58445040214477,242.876526458616,230.6648575305292,247.94520547945206,241.0958904109589,247.6060191518468,247.59284731774417,241.75824175824175,246.57534246575344,236.51452282157678,244.44444444444446,252.41379310344828,244.81327800829877,248.9568845618915,250.69637883008357,239.61218836565098,251.7580872011252,250.35161744022506
A02,228.23529411764707,253.73134328358208,238.8059701492537,248.8372093023256,251.23152709359604,244.49877750611248,247.59615384615387,249.39467312348668,252.9274004683841,236.11111111111111,237.44292237442923,223.94678492239467,218.1425485961123,219.14893617021278,220.2020202020202,219.6078431372549,197.76119402985074,207.33944954128438,195.46247818499128,198.99665551839465,192.49592169657421,196.54088050314465,192.3076923076923,197.91666666666666,181.68604651162792,180.1418439716312,169.68011126564673,183.56164383561645,204.3301759133965,187.1657754010695,196.54714475431607,189.40397350993376,203.41207349081364,206.57894736842104,213.4540750323415,215.48387096774192,229.97416020671835,226.26788036410923,225.51546391752578,218.95006402048654,230.17902813299233,223.6503856041131,228.97800776196635,234.5360824742268,232.25806451612902,222.93814432989691,244.1860465116279,227.7992277992278,243.24324324324323,247.074122236671,239.63730569948186,239.94811932555123,226.1437908496732,245.7516339869281,242.10526315789474,244.09448818897638,238.5321100917431,243.06472919418758,243.3862433862434,245.3580901856764,240.37184594953519,246.35761589403972,231.8840579710145,241.05960264900662,247.66977363515312,242.99065420560748,246.01063829787233,247.65729585006693,241.93548387096774,252.01072386058982,244.32576769025368,257.71812080536915,251.34408602150538,240.91520861372814,246.99599465954606,250.3364737550471,241.93548387096774,247.64468371467026,252.37449118046132,255.08819538670286
A03,250.0,238.57868020304568,247.47474747474746,235.01199040767386,256.92695214105794,276.3819095477387,235.7320099255583,250.62034739454091,248.19277108433735,242.20623501199043,239.33649289099526,248.8479262672811,249.4331065759637,232.662192393736,231.26338329764454,232.21757322175733,232.32323232323233,217.3913043478261,214.82889733840304,209.471766848816,199.2818671454219,212.17391304347828,222.41086587436334,186.46864686468646,193.86106623586429,204.14673046251994,193.7984496124031,200.920245398773,213.08980213089802,217.8517397881997,224.5508982035928,199.7041420118343,220.76023391812865,230.54331864904552,230.76923076923077,226.22478386167148,237.8223495702006,249.2753623188406,236.72883787661408,241.08416547788875,250.35561877667143,265.89595375722547,257.9710144927536,258.9928057553957,260.05747126436785,246.73439767779394,259.3659942363113,269.17510853835023,269.0647482014389,246.3768115942029,259.4202898550725,261.9392185238785,258.72093023255815,265.21739130434787,265.3061224489796,270.0729927007299,270.4678362573099,282.1270310192023,270.98674521354934,268.3284457478006,275.811209439528,265.4867256637168,251.83016105417275,288.0354505169867,269.11764705882354,274.4807121661721,273.40267459138187,273.6686390532544,281.25,276.5321375186846,275.44910179640715,266.7660208643815,277.3613193403298,283.3583208395802,268.9450222882615,284.43113772455087,277.6119402985074,284.43113772455087,273.82753403933435,282.90468986384263
A04,222.74881516587678,255.52825552825556,233.0097087378641,232.0185614849188,251.81598062953998,231.5035799522673,247.59615384615387,242.20623501199043,256.94444444444446,264.97695852534565,229.25764192139738,240.0,243.24324324324326,249.4669509594883,237.42454728370222,221.3740458015267,222.4334600760456,217.4721189591078,212.91448516579408,214.1623488773748,214.52702702702703,225.32894736842107,220.61191626409018,220.82018927444796,213.85542168674698,223.8586156111929,230.76923076923077,225.0712250712251,242.816091954023,239.07103825136613,248.93314366998578,277.85613540197465,274.8299319727891,305.63380281690144,298.77216916780355,308.1155433287483,316.00547195622437,329.23497267759564,332.87858117326056,344.640434192673,338.29499323410016,346.9387755102041,341.4634146341464,347.4114441416894,339.23705722070844,353.34242837653477,351.9781718963165,354.6195652173913,355.5858310626703,351.5731874145007,359.6730245231608,356.16438356164383,356.74931129476585,359.504132231405,363.2596685082873,363.5116598079561,369.1460055096419,366.52835408022133,358.4379358437936,365.78581363004173,361.11111111111114,359.8901098901099,351.9781718963165,356.0709413369714,354.8830811554333,362.3595505617978,363.12849162011173,368.4950773558369,365.41143654114364,362.48236953455574,381.69014084507046,372.8813559322034,368.7943262411348,378.8732394366197,367.4614305750351,369.0140845070423,366.71368124118476,382.10227272727275,369.6275071633238,378.2234957020058
A05,306.7846607669616,257.97872340425533,253.26370757180158,246.91358024691357,230.76923076923077,245.5242966751918,239.8989898989899,245.0,224.8803827751196,233.49056603773585,214.78060046189375,215.9090909090909,214.76510067114094,212.12121212121212,195.4732510288066,194.77911646586347,187.73946360153255,170.77798861480076,169.98191681735983,160.95890410958904,165.01650165016503,142.4,149.13657770800629,141.35338345864662,133.43108504398825,124.0981240981241,120.61711079943899,128.63070539419087,125.16823687752355,119.46308724832215,113.87434554973822,130.77939233817702,121.29032258064515,118.86304909560724,112.24489795918367,114.06844106463878,109.4147582697201,113.92405063291139,105.52763819095478,110.13767209011263,111.1111111111111,115.8690176322418,109.2964824120603,118.09045226130652,121.85929648241205,109.2964824120603,114.321608040201,111.1111111111111,106.51629072681703,110.97099621689784,110.69182389937106,108.88610763454318,122.78481012658227,116.45569620253164,110.26615969581749,113.08767471410418,108.99873257287706,117.94871794871794,124.19974391805377,110.54637865311308,109.25449871465295,119.53727506426735,106.32911392405063,121.32822477650063,116.51728553137004,112.11340206185567,110.53984575835476,108.52713178294573,111.82519280205655,115.43450064850843,119.01681759379042,120.77922077922078,111.54345006485084,119.48051948051948,113.4020618556701,124.5136186770428,115.13583441138421,118.33550065019506,115.73472041612483,121.05263157894737
A06,292.42819843342033,278.1954887218045,248.76847290640393,247.05882352941177,267.8132678132678,261.50121065375305,240.56603773584905,258.3732057416268,263.8888888888889,255.8139534883721,268.9655172413793,253.86313465783664,247.19101123595505,252.79642058165547,244.16135881104034,245.86776859504133,242.9718875502008,250.996015936255,223.07692307692307,225.32588454376162,230.76923076923075,211.9089316987741,225.08591065292097,214.2857142857143,221.85970636215336,220.8,231.97492163009403,233.94495412844034,242.74809160305344,241.64133738601822,252.25225225225225,252.61584454409564,258.5438335809807,272.04783258594915,262.4633431085044,268.041237113402,272.45949926362294,269.2307692307692,281.524926686217,294.11764705882354,280.05865102639297,278.9317507418397,279.76190476190476,280.64992614475625,295.69093610698366,292.3538230884558,299.69879518072287,292.10134128166914,284.2261904761905,302.4316109422492,302.29007633587787,281.97226502311247,301.85758513931887,302.3255813953488,304.27892234548335,304.41640378548897,300.78740157480314,305.3311793214863,310.4,295.16129032258067,297.0779220779221,308.06451612903226,305.4187192118227,306.9306930693069,307.43801652892563,291.94630872483225,307.04697986577185,318.71838111298484,311.64383561643837,304.421768707483,310.3448275862069,311.07205623901586,307.2916666666667,306.8783068783069,295.25483304042183,313.6200716845878,303.3509700176367,316.4556962025316,315.4981549815498,309.12476722532585
A07,301.7456359102244,277.10843373493975,273.38129496402877,276.74418604651163,286.4077669902913,277.77777777777777,278.84615384615387,305.08474576271186,292.45283018867923,298.3293556085919,292.45283018867923,275.22935779816515,282.7102803738318,267.8983833718245,300.90497737556564,284.7533632286995,297.5929978118162,289.82300884955754,293.7365010799136,289.64059196617336,282.15767634854774,282.520325203252,273.26732673267327,289.82725527831093,285.17823639774855,294.87179487179486,282.9525483304042,282.793867120954,294.21487603305786,291.93548387096774,301.91693290734827,302.9366306027821,312.78195488721803,324.40476190476187,335.26850507982584,339.05579399141635,358.2510578279267,364.5251396648045,387.27524204702627,416.20879120879124,419.04761904761904,458.5034013605442,491.1080711354309,518.970189701897,542.9740791268758,581.0439560439561,606.8027210884354,631.4363143631437,669.8369565217391,698.4993178717599,703.4013605442177,732.605729877217,758.2417582417582,788.0886426592798,798.8904299583911,817.5487465181059,819.5804195804196,838.7553041018388,849.6453900709221,850.4273504273505,868.0057388809183,868.6868686868687,900.5847953216373,890.67055393586,889.8678414096916,904.3348281016442,907.8751857355126,902.2556390977443,916.5402124430956,932.6186830015314,924.7311827956989,924.3827160493827,915.7566302652106,912.6365054602184,914.1965678627145,906.3492063492064,900.1584786053883,896.1661341853035,887.4388254486134,894.7368421052632
A08,126.89173457508731,280.0,271.356783919598,274.0046838407494,279.3017456359102,280.3970223325062,268.1159420289855,265.20681265206815,280.2850356294537,278.3018867924528,264.6370023419204,271.461716937355,291.0798122065728,283.0626450116009,296.21380846325167,274.12280701754383,268.0851063829787,282.6086956521739,282.10526315789474,287.78467908902695,260.1626016260163,298.0,303.0888030888031,295.1127819548872,300.55658627087195,300.7246376811594,293.8053097345133,324.1379310344828,336.68341708542715,329.98324958123953,333.3333333333333,357.487922705314,376.6025641025641,382.7751196172249,395.9627329192546,426.1275272161742,448.06201550387595,499.22239502332815,523.8095238095237,559.451219512195,561.4567526555387,614.567526555387,652.3736600306279,672.3076923076923,696.6463414634146,740.0611620795107,774.6913580246913,783.0045523520486,796.9465648854962,816.5137614678898,823.4398782343987,845.9214501510573,864.1221374045801,890.2627511591962,871.1656441717791,896.1240310077519,880.8049535603715,906.396255850234,886.9969040247678,886.9969040247678,910.377358490566,921.3836477987421,899.5363214837712,909.375,915.360501567398,908.8050314465409,914.5569620253165,913.1121642969985,938.0952380952381,954.8387096774194,940.609951845907,920.3821656050956,935.8974358974359,918.4,907.0866141732283,931.4194577352472,922.0985691573927,944.1786283891547,930.5331179321487,949.5934959349594
A09,388.3248730964467,381.7733990147783,384.4282238442823,358.49056603773585,401.4778325123152,393.0348258706467,395.5773955773956,407.4074074074074,402.8436018957346,407.673860911271,434.9881796690307,421.2962962962963,459.9056603773585,450.7042253521127,472.85067873303166,463.57615894039736,463.04347826086956,489.1774891774892,478.9915966386555,501.02669404517457,496.98189134808854,523.5294117647059,523.719165085389,544.1176470588235,550.8021390374331,552.0833333333334,581.0810810810812,599.670510708402,627.4193548387096,650.3937007874016,690.9937888198757,722.8177641653905,744.3946188340807,772.9970326409496,787.5722543352601,807.9658605974396,836.8794326241135,868.271954674221,877.9803646563815,899.4413407821229,897.5069252077562,945.7579972183589,947.2222222222223,961.5384615384615,972.2991689750693,977.9005524861878,980.7692307692308,973.8651994497937,983.4710743801653,1002.7624309392265,997.2413793103449,1000.0,1015.3203342618385,1011.1420612813371,1011.1420612813371,1009.6952908587258,1022.4089635854342,1015.4494382022473,1011.1576011157601,1023.8095238095239,1015.4061624649861,1036.3128491620112,1013.9860139860141,1022.4403927068724,1027.972027972028,1032.7169274537696,1041.1347517730496,1028.2885431400284,1041.2517780938833,1044.2857142857144,1058.8235294117649,1042.9184549356223,1045.845272206304,1047.142857142857,1052.857142857143,1050.0,1045.9110473457677,1050.1432664756449,1068.3139534883721,1066.7634252539913
A10,238.21339950372206,210.4018912529551,214.11764705882354,202.76497695852535,225.181598062954,221.69811320754718,215.45667447306792,203.7037037037037,218.09744779582365,185.77981651376146,209.19540229885058,199.1150442477876,200.90293453724604,217.1945701357466,196.96969696969697,195.3290870488323,187.62886597938146,175.0,184.5841784989858,175.43859649122805,169.23076923076923,179.88394584139263,161.11111111111111,155.63506261180677,164.02116402116403,149.91482112436117,154.85996705107084,133.76835236541598,139.71742543171115,136.29402756508424,142.4242424242424,133.1360946745562,128.61271676300578,132.26744186046514,135.66433566433568,127.9887482419128,133.33333333333334,129.47658402203857,120.59620596205963,125.33692722371968,117.02127659574468,121.17177097203728,134.66666666666666,127.29658792650919,118.11023622047244,118.11023622047244,114.58333333333333,122.7390180878553,118.10012836970475,113.28125,111.53846153846153,109.55414012738854,120.15503875968992,115.68123393316195,117.41935483870968,110.397946084724,112.11340206185567,119.48051948051948,121.9195849546044,108.38709677419355,116.73151750972762,117.03511053315995,112.40310077519379,128.4046692607004,117.57105943152455,105.33159947984394,116.73151750972762,111.68831168831169,115.73472041612483,115.88541666666666,119.94784876140808,109.23276983094928,116.49214659685863,119.73684210526315,111.54345006485084,114.28571428571428,118.79895561357702,108.21382007822686,118.89035667107001,119.89459815546772
