WELL,0 h ,0 h 15 min,0 h 30 min,0 h 45 min,1 h ,1 h 15 min,1 h 30 min,1 h 45 min,2 h ,2 h 15 min,2 h 30 min,2 h 45 min,3 h ,3 h 15 min,3 h 30 min,3 h 45 min,4 h ,4 h 15 min,4 h 30 min,4 h 45 min,5 h ,5 h 15 min,5 h 30 min,5 h 45 min,6 h ,6 h 15 min,6 h 30 min,6 h 45 min,7 h ,7 h 15 min,7 h 30 min,7 h 45 min,8 h ,8 h 15 min,8 h 30 min,8 h 45 min,9 h ,9 h 15 min,9 h 30 min,9 h 45 min,10 h ,10 h 15 min,10 h 30 min,10 h 45 min,11 h ,11 h 15 min,11 h 30 min,11 h 45 min,12 h ,12 h 15 min,12 h 30 min,12 h 45 min,13 h ,13 h 15 min,13 h 30 min,13 h 45 min,14 h ,14 h 15 min,14 h 30 min,14 h 45 min,15 h ,15 h 15 min,15 h 30 min,15 h 45 min,16 h ,16 h 15 min,16 h 30 min,16 h 45 min,17 h ,17 h 15 min,17 h 30 min,17 h 45 min,18 h ,18 h 15 min,18 h 30 min,18 h 45 min,19 h ,19 h 15 min,19 h 30 min,19 h 45 min
A01,83.16430020283975,112.53196930946291,117.5,99.07834101382488,101.85185185185185,100.89686098654708,93.41825902335457,83.85744234800839,85.65737051792829,86.62900188323917,78.03992740471868,76.66098807495742,77.17569786535304,71.8849840255591,69.23076923076923,68.75934230194319,65.59766763848395,66.47807637906648,68.96551724137932,58.743169398907106,60.483870967741936,67.72908366533865,61.0079575596817,62.66318537859008,65.96306068601584,66.40625,62.418725617685304,67.70833333333333,64.85084306095979,65.01950585175553,67.35751295336787,73.83419689119171,64.59948320413436,63.71911573472042,70.3125,73.26478149100257,70.96774193548387,77.720207253886,74.83870967741936,73.45360824742268,78.91332470892625,79.22077922077922,80.83441981747066,80.83441981747066,79.63446475195822,73.83419689119171,82.46073298429319,80.05249343832021,84.85639686684073,83.22324966974901,84.09986859395532,87.92650918635171,88.39050131926122,88.74172185430463,87.64940239043824,86.89839572192514,90.3054448871182,86.89839572192514,88.70967741935483,87.24832214765101,89.81233243967829,86.72086720867209,85.79088471849866,90.9090909090909,88.19538670284939,86.3013698630137,87.67123287671232,93.0232558139535,93.53507565337001,87.91208791208791,89.04109589041096,89.90318118948825,91.66666666666667,92.41379310344828,89.90318118948825,91.7941585535466,93.31476323119777,95.56786703601108,90.014064697609,90.014064697609
A02,103.52941176470588,111.94029850746269,111.94029850746269,104.65116279069768,113.30049261083744,100.24449877750612,103.36538461538461,116.2227602905569,100.70257611241217,92.5925925925926,107.30593607305936,106.43015521064301,99.35205183585313,93.61702127659575,92.92929292929293,94.11764705882352,91.41791044776119,88.07339449541284,83.76963350785341,85.28428093645485,84.82871125611746,80.18867924528301,75.38461538461539,74.4047619047619,75.58139534883722,75.177304964539,76.4951321279555,73.97260273972603,71.71853856562923,74.8663101604278,70.3851261620186,72.8476821192053,72.17847769028872,76.3157894736842,73.73868046571798,74.83870967741936,74.93540051679587,75.42262678803641,76.03092783505154,80.66581306017926,75.44757033248082,71.97943444730078,71.15135834411385,77.31958762886597,80.0,78.6082474226804,81.3953488372093,77.22007722007721,75.93307593307593,80.62418725617685,77.720207253886,83.00907911802854,77.12418300653594,78.43137254901961,82.89473684210526,82.67716535433071,82.56880733944953,84.5442536327609,84.65608465608466,80.90185676392574,77.02523240371846,90.06622516556291,84.32147562582345,82.11920529801324,79.89347536617844,80.10680907877169,85.1063829787234,82.99866131191432,79.3010752688172,83.10991957104558,86.78237650200268,80.53691275167785,80.64516129032258,83.44549125168237,86.78237650200268,86.13728129205921,86.02150537634408,82.09959623149395,89.55223880597015,84.12483039348712
A03,120.0,116.75126903553299,106.06060606060606,105.51558752997602,118.38790931989924,120.60301507537687,106.69975186104217,114.14392059553349,108.43373493975903,115.10791366906476,104.2654028436019,110.59907834101382,106.57596371882086,109.61968680089485,102.78372591006423,94.14225941422595,98.98989898989899,92.88537549407114,96.95817490494296,85.61020036429872,93.3572710951526,83.47826086956522,83.1918505942275,80.85808580858087,84.00646203554119,74.96012759170654,82.17054263565892,81.28834355828221,80.66971080669711,77.15582450832072,79.34131736526946,79.88165680473372,84.7953216374269,82.23201174743025,82.72859216255443,80.69164265129683,80.22922636103152,81.15942028985508,83.21377331420373,84.1654778887304,79.65860597439546,80.92485549132948,82.60869565217392,83.45323741007195,86.20689655172414,87.08272859216257,92.21902017291067,91.17221418234443,87.76978417266187,89.85507246376812,91.30434782608697,83.93632416787266,91.56976744186048,84.05797101449276,90.37900874635568,89.05109489051094,90.64327485380116,97.48892171344164,88.36524300441826,90.9090909090909,95.87020648967551,89.97050147492625,93.70424597364567,96.01181683899556,94.11764705882352,93.47181008902076,98.06835066864784,93.19526627218934,93.75,97.15994020926756,94.31137724550898,93.88971684053651,94.4527736131934,95.95202398800599,92.12481426448737,94.31137724550898,92.53731343283582,97.30538922155688,92.28441754916793,96.82299546142208
A04,135.07109004739337,132.6781326781327,131.06796116504856,118.32946635730859,130.75060532687652,143.1980906921241,132.21153846153848,131.89448441247004,143.51851851851853,133.64055299539172,131.00436681222706,132.63157894736844,130.97713097713097,138.59275053304904,136.8209255533199,135.49618320610688,131.1787072243346,131.9702602230483,132.63525305410124,134.71502590673575,146.95945945945945,138.1578947368421,138.48631239935588,149.8422712933754,147.59036144578312,154.63917525773195,158.20029027576197,170.94017094017096,179.5977011494253,176.22950819672133,200.56899004267427,211.56558533145275,208.16326530612244,222.53521126760563,226.46657571623464,233.83768913342504,240.76607387140905,251.36612021857923,255.11596180081855,257.8018995929444,261.16373477672533,266.6666666666667,266.93766937669375,277.9291553133515,275.20435967302456,274.2155525238745,276.94406548431107,286.6847826086957,283.37874659400546,285.90971272229825,290.1907356948229,293.1506849315069,294.76584022038566,296.1432506887052,298.3425414364641,296.2962962962963,297.5206611570248,297.37206085753803,299.860529986053,301.80806675938805,305.55555555555554,298.0769230769231,298.77216916780355,296.043656207367,303.98899587345255,310.3932584269663,301.6759776536313,316.45569620253167,309.6234309623431,311.70662905500706,314.08450704225356,312.14689265536725,313.4751773049646,314.08450704225356,314.1654978962132,314.08450704225356,311.70662905500706,313.92045454545456,322.3495702005731,316.6189111747851
A05,165.19174041297933,140.95744680851064,135.77023498694516,130.86419753086417,138.46153846153845,143.2225063938619,126.26262626262626,142.5,129.1866028708134,136.7924528301887,129.33025404157044,122.72727272727273,131.9910514541387,125.54112554112554,135.80246913580248,120.48192771084338,132.183908045977,119.54459203036052,130.19891500904157,123.28767123287672,127.06270627062706,126.4,125.58869701726844,130.82706766917292,129.03225806451613,135.64213564213566,138.8499298737728,142.46196403872753,148.04845222072677,155.70469798657717,154.4502617801047,159.84147952443857,163.8709677419355,174.41860465116278,173.46938775510205,183.77693282636247,187.02290076335876,189.873417721519,192.2110552763819,196.4956195244055,198.50187265917603,204.0302267002519,207.286432160804,209.79899497487435,207.286432160804,212.31155778894473,216.08040201005025,210.98626716604244,219.29824561403507,218.15889029003782,217.61006289308176,220.27534418022526,229.1139240506329,221.51898734177215,223.06717363751582,222.3634053367217,223.06717363751582,229.48717948717947,229.1933418693982,226.17534942820836,231.3624678663239,232.6478149100257,231.64556962025316,232.43933588761175,233.03457106274007,233.24742268041237,231.3624678663239,236.43410852713177,241.6452442159383,238.65110246433204,239.3272962483829,244.15584415584416,239.94811932555123,240.25974025974025,238.4020618556701,239.94811932555123,241.91461836998707,243.17295188556565,241.87256176853055,243.42105263157893
A06,122.7154046997389,115.28822055137844,98.52216748768473,115.29411764705883,110.56511056511057,104.11622276029057,103.77358490566039,107.6555023923445,106.48148148148148,106.97674418604652,105.74712643678161,99.33774834437085,98.87640449438202,100.67114093959731,97.66454352441615,99.17355371900827,94.37751004016064,91.63346613545816,82.6923076923077,80.07448789571694,80.50089445438282,78.8091068301226,80.75601374570448,76.41196013289037,71.77814029363785,67.2,70.53291536050156,65.74923547400611,65.64885496183206,72.9483282674772,73.57357357357357,71.74887892376681,65.37890044576523,65.76980568011957,71.8475073313783,69.21944035346097,66.27393225331369,73.96449704142012,67.44868035190615,72.05882352941175,64.51612903225806,69.73293768545993,68.45238095238095,67.94682422451993,72.80832095096582,65.96701649175412,70.78313253012048,64.08345752608048,66.96428571428571,69.90881458966565,70.22900763358778,73.95993836671802,74.30340557275541,69.76744186046511,74.48494453248811,70.97791798107255,69.29133858267717,72.69789983844912,78.4,74.19354838709677,81.16883116883118,72.58064516129032,73.89162561576354,80.85808580858087,74.3801652892562,75.503355704698,82.21476510067114,75.88532883642496,89.04109589041096,79.93197278911565,79.3103448275862,79.08611599297014,76.3888888888889,79.36507936507937,79.08611599297014,86.02150537634408,82.89241622574957,81.37432188065098,84.87084870848707,81.93668528864059
A07,142.14463840399003,137.34939759036146,134.29256594724222,134.88372093023256,143.20388349514565,149.7584541062802,149.03846153846155,142.85714285714286,146.22641509433961,150.3579952267303,146.22641509433961,146.78899082568807,144.85981308411215,152.42494226327943,147.05882352941177,159.1928251121076,157.54923413566738,161.50442477876106,153.34773218142547,162.79069767441862,159.75103734439836,166.66666666666666,172.27722772277227,166.98656429942417,170.73170731707316,173.99267399267399,177.50439367311074,183.9863713798978,183.4710743801653,190.32258064516128,198.08306709265176,197.83616692426583,204.5112781954887,221.72619047619045,233.67198838896954,238.91273247496426,253.87870239774333,265.3631284916201,279.3914246196404,292.5824175824176,307.4829931972789,337.4149659863946,355.67715458276336,367.20867208672087,387.44884038199183,409.34065934065933,421.7687074829932,437.66937669376694,449.72826086956525,466.57571623465213,472.108843537415,491.13233287858117,497.25274725274727,512.4653739612188,525.6588072122053,529.2479108635098,544.0559440559441,548.7977369165488,553.1914893617021,558.4045584045584,565.2797704447634,572.8715728715729,583.3333333333333,583.0903790087463,582.9662261380323,591.9282511210762,591.3818722139673,590.9774436090225,600.9104704097117,598.7748851454824,600.6144393241167,603.395061728395,599.0639625585023,594.383775351014,597.5039001560062,603.1746031746031,591.1251980982568,592.6517571884984,600.326264274062,605.2631578947369
A08,67.52037252619326,145.0,148.24120603015075,140.5152224824356,147.13216957605985,141.43920595533498,142.512077294686,148.41849148418493,147.2684085510689,158.0188679245283,140.5152224824356,141.53132250580046,157.27699530516432,143.85150812064964,153.67483296213808,153.50877192982455,157.4468085106383,158.69565217391303,164.21052631578948,165.63146997929607,174.7967479674797,166.0,179.53667953667954,180.45112781954887,181.8181818181818,195.65217391304347,198.23008849557525,208.62068965517244,206.03015075376885,224.45561139028476,234.62783171521036,244.76650563607086,259.61538461538464,282.29665071770336,284.16149068322983,311.04199066874025,331.7829457364341,349.9222395023328,368.66359447004606,388.7195121951219,402.1244309559939,421.8512898330804,447.166921898928,466.15384615384613,474.0853658536585,496.9418960244648,509.25925925925924,515.9332321699544,526.7175572519084,532.1100917431193,537.2907153729071,545.3172205438066,558.7786259541984,567.2333848531684,565.9509202453987,578.2945736434108,578.9473684210526,586.5834633385335,583.5913312693498,586.6873065015479,602.2012578616352,599.0566037735849,593.5085007727976,600.0,598.7460815047021,600.62893081761,609.1772151898734,601.8957345971564,606.3492063492064,620.9677419354839,617.9775280898876,609.8726114649681,610.5769230769231,611.2,611.0236220472441,618.8197767145135,616.852146263911,617.2248803827752,628.43295638126,629.2682926829268
A09,276.6497461928934,201.97044334975368,206.81265206812654,195.75471698113208,209.35960591133002,226.3681592039801,233.41523341523344,227.16049382716048,222.74881516587678,239.80815347721824,248.22695035460993,254.62962962962962,271.22641509433964,286.3849765258216,282.80542986425337,291.3907284768212,295.65217391304344,316.017316017316,317.2268907563025,336.7556468172485,348.0885311871227,350.98039215686276,375.71157495256165,375.0,392.156862745098,401.0416666666667,415.5405405405406,434.92586490939044,446.7741935483871,462.99212598425197,475.1552795031056,497.70290964777945,505.2316890881913,523.7388724035608,527.456647398844,536.2731152204836,547.517730496454,565.1558073654392,570.827489481066,582.4022346368715,583.1024930747923,593.8803894297636,601.3888888888889,597.5274725274726,612.1883656509696,602.2099447513813,611.2637362637363,613.4800550206328,615.702479338843,618.7845303867404,623.448275862069,623.789764868603,625.3481894150418,635.0974930362117,632.3119777158774,637.1191135734073,644.2577030812325,647.4719101123596,637.3779637377964,637.2549019607843,644.2577030812325,645.2513966480448,643.3566433566434,649.3688639551192,650.3496503496503,654.3385490753913,655.3191489361702,652.0509193776521,654.3385490753913,664.2857142857143,667.1449067431852,663.8054363376252,667.621776504298,668.5714285714287,667.1428571428572,667.1428571428572,674.3185078909613,674.785100286533,678.7790697674419,680.6966618287373
A10,111.66253101736972,108.74704491725768,105.88235294117648,101.38248847926268,106.53753026634384,96.69811320754717,100.70257611241217,99.53703703703704,90.48723897911833,103.21100917431193,103.44827586206897,101.76991150442477,97.06546275395034,92.76018099547511,97.4025974025974,106.15711252653928,94.84536082474227,97.91666666666667,93.30628803245436,91.61793372319688,96.15384615384615,88.97485493230174,83.33333333333333,84.07871198568873,77.60141093474428,74.95741056218058,77.42998352553542,83.19738988580751,81.63265306122449,71.97549770290965,72.72727272727272,72.48520710059171,79.47976878612717,69.76744186046513,71.32867132867133,73.13642756680731,70.83333333333334,75.75757575757576,73.17073170731707,76.81940700808626,74.46808510638297,77.23035952063914,74.66666666666667,80.05249343832021,76.11548556430446,73.49081364829397,78.125,73.64341085271317,75.73812580231065,74.21875,85.8974358974359,77.70700636942675,80.1033591731266,84.83290488431876,81.29032258064515,78.30551989730424,81.18556701030927,79.22077922077922,88.19714656290532,85.16129032258064,76.52399481193255,79.32379713914175,80.1033591731266,75.22697795071336,83.97932816537468,81.92457737321196,83.00907911802854,77.92207792207792,79.32379713914175,78.125,80.83441981747066,78.02340702210662,79.84293193717278,81.57894736842105,77.82101167315174,76.62337662337661,84.85639686684073,86.04954367666232,79.26023778071334,81.68642951251647
